episode,reward,return,hold_actions,buy_actions,sell_actions
0,2672.3163996455824,26.904763445871183,107,109,170
1,-272.81875331123047,-2.728187533112303,111,111,164
2,573.1532212944621,5.731532212944623,122,100,164
3,1553.3298028010795,15.533298028010801,123,110,153
4,4050.043212449669,40.5004321244967,113,108,165
5,3314.4097136484415,33.144097136484405,107,102,177
6,2741.8241826529647,27.600837350752983,102,105,179
7,1623.0840546474792,16.39740406953294,126,109,151
8,6639.939786117571,66.3993978611757,133,92,161
9,1424.4031779124907,14.407748124391206,134,104,148
10,3712.777459052164,37.12777459052163,117,113,156
11,-2299.3140125067803,-22.9931401250678,122,117,147
12,1843.6922351167177,18.60664727920025,126,114,146
13,107.41743849667364,1.0741743849667307,119,110,157
14,-925.089462133792,-9.250894621337924,119,95,172
15,2141.897952726098,21.418979527260973,118,117,151
16,4391.3315887217395,43.91331588721739,128,90,168
17,-607.7288242549657,-5.942693175595471,115,110,161
18,-825.8408515080155,-8.258408515080152,110,103,173
19,4812.605432956632,48.126054329566315,106,120,160
20,-729.7741006697433,-7.297741006697434,104,109,173
21,-894.5597142312945,-8.945597142312945,118,122,146
22,1235.0820621343082,12.350820621343072,112,102,172
23,3287.351897167464,32.87351897167463,118,100,168
24,3964.9710143816774,39.649710143816776,125,112,149
25,2348.2924679814987,23.482924679814985,124,125,137
